match_id,date,time,patch_number,team0_ID,team1_ID,team0_score,team1_score,winner_ID,loser_ID,player0_ID,player1_ID,player2_ID,player3_ID,player4_ID,player0_ACS,player0_K,player0_D,player0_A,player0_KD,player0_KAST,player0_ADR,player0_HS,player0_FK,player0_FD,player0_FKFD,player1_ACS,player1_K,player1_D,player1_A,player1_KD,player1_KAST,player1_ADR,player1_HS,player1_FK,player1_FD,player1_FKFD,player2_ACS,player2_K,player2_D,player2_A,player2_KD,player2_KAST,player2_ADR,player2_HS,player2_FK,player2_FD,player2_FKFD,player3_ACS,player3_K,player3_D,player3_A,player3_KD,player3_KAST,player3_ADR,player3_HS,player3_FK,player3_FD,player3_FKFD,player4_ACS,player4_K,player4_D,player4_A,player4_KD,player4_KAST,player4_ADR,player4_HS,player4_FK,player4_FD,player4_FKFD,player5_ID,player6_ID,player7_ID,player8_ID,player9_ID,player5_ACS,player5_K,player5_D,player5_A,player5_KD,player5_KAST,player5_ADR,player5_HS,player5_FK,player5_FD,player5_FKFD,player6_ACS,player6_K,player6_D,player6_A,player6_KD,player6_KAST,player6_ADR,player6_HS,player6_FK,player6_FD,player6_FKFD,player7_ACS,player7_K,player7_D,player7_A,player7_KD,player7_KAST,player7_ADR,player7_HS,player7_FK,player7_FD,player7_FKFD,player8_ACS,player8_K,player8_D,player8_A,player8_KD,player8_KAST,player8_ADR,player8_HS,player8_FK,player8_FD,player8_FKFD,player9_ACS,player9_K,player9_D,player9_A,player9_KD,player9_KAST,player9_ADR,player9_HS,player9_FK,player9_FD,player9_FKFD
https://www.vlr.gg/67064/luminosity-vs-nightblood-gaming-champions-tour-north-america-stage-1-challengers-ro64,2022-01-27,20:00:00,Patch 4.01,/team/642/luminosity,/team/5601/nightblood-gaming,2,0,/team/642/luminosity,/team/5601/nightblood-gaming,/player/844/bdog,/player/7458/moose,/player/5132/mada,/player/769/tigg,/player/3757/dazzle,300,35,/12/,6,+23,94%,188,32%,8,2,+6,285,37,/13/,9,+24,90%,189,38%,4,1,+3,251,28,/19/,12,+9,81%,157,24%,4,3,+1,201,23,/14/,13,+9,81%,143,28%,2,2,0,195,20,/16/,21,+4,87%,140,15%,4,1,+3,/player/20364/roompa,/player/21321/stig,/player/24260/cap,/player/15998/micknutty333,/player/6396/xzyclon,177,20,/27/,3,-7,52%,109,39%,1,5,-4,161,16,/30/,4,-14,61%,109,34%,5,7,-2,146,17,/27/,1,-10,45%,99,43%,0,3,-3,121,12,/29/,3,-17,35%,83,41%,1,4,-3,100,9,/30/,6,-21,48%,69,28%,2,3,-1
https://www.vlr.gg/67065/virtuoso-vs-zero-marksmen-silver-champions-tour-north-america-stage-1-challengers-ro64,2022-01-27,20:00:00,Patch 4.01,/team/2348/virtuoso,/team/6904/zero-marksmen-silver,2,0,/team/2348/virtuoso,/team/6904/zero-marksmen-silver,/player/5035/blahst,/player/8677/snxper,/player/3679/ikonik,/player/6402/king,/player/5189/eley,229,38,/29/,13,+9,78%,149,29%,4,3,+1,224,37,/35/,16,+2,71%,145,27%,4,4,0,222,33,/39/,9,-6,71%,139,8%,10,6,+4,176,29,/27/,16,+2,73%,127,25%,2,4,-2,173,25,/30/,12,-5,71%,125,21%,5,3,+2,/player/6456/torrify,/player/21259/troll,/player/14082/plaza,/player/3683/tokyo,/player/14081/waffle,255,40,/34/,11,+6,73%,171,23%,3,3,0,217,37,/30/,10,+7,71%,135,19%,4,3,+1,211,33,/35/,8,-2,67%,130,22%,6,9,-3,199,34,/32/,4,+2,64%,127,32%,6,3,+3,117,16,/31/,11,-15,69%,84,18%,1,7,-6
https://www.vlr.gg/67066/faze-clan-vs-carpe-noctem-champions-tour-north-america-stage-1-challengers-ro64,2022-01-27,20:00:00,Patch 4.01,/team/337/faze-clan,/team/5213/carpe-noctem,2,0,/team/337/faze-clan,/team/5213/carpe-noctem,/player/2170/babybay,/player/1113/dicey,/player/1850/shot-up,/player/4916/larrybanks,/player/3685/flyuh,329,40,/15/,7,+25,88%,195,31%,9,4,+5,294,35,/15/,10,+20,100%,204,39%,4,1,+3,231,32,/10/,8,+22,88%,159,26%,2,4,-2,195,21,/14/,10,+7,78%,126,23%,5,1,+4,163,19,/18/,11,+1,88%,112,17%,0,2,-2,/player/16703/truls,/player/741/hoppin,/player/3240/pauly,/player/2998/zid,/player/16689/j13,157,18,/29/,6,-11,50%,107,27%,4,2,+2,156,16,/30/,6,-14,44%,108,33%,7,9,-2,144,13,/29/,4,-16,53%,111,24%,0,2,-2,125,12,/30/,0,-18,53%,88,30%,1,3,-2,109,12,/29/,5,-17,44%,78,29%,0,4,-4
https://www.vlr.gg/67069/project-a-vs-team-basilisk-champions-tour-north-america-stage-1-challengers-ro64,2022-01-27,20:00:00,Patch 4.01,/team/6148/project-a,/team/3337/team-basilisk,1,2,/team/3337/team-basilisk,/team/6148/project-a,/player/8539/playboi-joe,/player/8262/campion,/player/3968/fletcher,/player/3689/teddy,/player/3238/just-in,220,52,/41/,8,+11,78%,145,27%,12,3,+9,217,50,/49/,8,+1,70%,138,24%,9,6,+3,212,47,/42/,20,+5,72%,147,37%,8,3,+5,177,40,/44/,9,-4,66%,114,32%,10,1,+9,176,35,/44/,17,-9,67%,124,25%,6,6,0,/player/1765/ohai,/player/891/duck,/player/2125/nanners,/player/12904/royal,/player/6418/hydra,236,55,/46/,26,+9,69%,153,33%,6,9,-3,213,49,/51/,7,-2,61%,137,31%,4,11,-7,211,48,/38/,11,+10,61%,140,28%,5,9,-4,166,39,/48/,11,-9,67%,112,35%,3,8,-5,148,29,/41/,25,-12,64%,108,25%,1,8,-7
https://www.vlr.gg/67070/knights-vs-303-esports-champions-tour-north-america-stage-1-challengers-ro64,2022-01-27,20:00:00,Patch 4.01,/team/1615/knights,/team/2139/303-esports,2,0,/team/1615/knights,/team/2139/303-esports,/player/11118/skuba,/player/5129/ban,/player/421/genghsta,/player/1023/xxif,/player/3180/frosty,275,36,/12/,7,+24,88%,174,25%,4,1,+3,260,36,/18/,1,+18,76%,152,31%,8,8,0,246,28,/19/,16,+9,85%,163,23%,2,0,+2,226,25,/17/,19,+8,82%,164,20%,1,3,-2,184,24,/16/,13,+8,82%,125,19%,4,2,+2,/player/16681/greed,/player/3992/lou,/player/5150/jsauls,/player/16678/hawk,/player/5055/polarbear,227,24,/28/,4,-4,55%,145,26%,3,1,+2,174,19,/31/,5,-12,45%,119,32%,3,3,0,170,19,/28/,1,-9,39%,106,27%,2,5,-3,96,10,/31/,3,-21,42%,58,23%,3,4,-1,93,10,/31/,3,-21,45%,67,22%,3,6,-3
https://www.vlr.gg/67062/ghost-gaming-vs-green-beans-champions-tour-north-america-stage-1-challengers-ro64,2022-01-27,19:10:00,Patch 4.01,/team/2291/ghost-gaming,/team/6019/green-beans,2,0,/team/2291/ghost-gaming,/team/6019/green-beans,/player/2172/brawk,/player/4828/nismo,/player/1265/johnqt,/player/3722/koalanoob,/player/7983/ryann,273,38,/22/,23,+16,90%,176,21%,4,0,+4,272,42,/28/,11,+14,76%,182,34%,6,2,+4,205,33,/28/,7,+5,74%,144,30%,3,2,+1,203,33,/29/,2,+4,67%,120,25%,10,6,+4,152,25,/25/,11,0,74%,102,33%,2,7,-5,/player/6643/unholykid,/player/8758/benjii,/player/8994/tristiieee,/player/6446/shane,/player/19288/core,257,40,/33/,13,+7,71%,165,29%,6,3,+3,197,28,/35/,10,-7,69%,124,22%,4,6,-2,153,22,/33/,12,-11,55%,101,20%,2,6,-4,149,23,/32/,5,-9,64%,91,19%,3,4,-1,148,19,/38/,26,-19,60%,102,25%,2,6,-4
https://www.vlr.gg/66975/version1-vs-604-champions-tour-north-america-stage-1-challengers-ro128,2022-01-27,18:00:00,Patch 4.01,/team/2815/version1,/team/7836/604,2,0,/team/2815/version1,/team/7836/604,/player/8082/zander,/player/729/zellsis,/player/4373/wippie,/player/7716/penny,/player/65/effys,371,35,/9/,11,+26,89%,233,36%,5,1,+4,345,33,/9/,6,+24,96%,205,22%,5,1,+4,285,29,/5/,2,+24,96%,194,28%,4,1,+3,208,22,/10/,3,+12,81%,134,28%,6,2,+4,123,15,/7/,12,+8,93%,85,24%,0,2,-2,/player/18754/ryuko,/player/8276/pao,/player/24444/dt-god,/player/24445/euphoric,/player/24446/ming,121,10,/27/,0,-17,30%,75,30%,5,4,+1,110,10,/27/,2,-17,26%,64,27%,0,7,-7,101,9,/26/,0,-17,30%,63,35%,2,3,-1,90,6,/27/,7,-21,41%,65,27%,0,3,-3,69,5,/27/,3,-22,33%,52,32%,0,3,-3
https://www.vlr.gg/66976/new-moon-vs-sussy-champions-tour-north-america-stage-1-challengers-ro128,2022-01-27,18:00:00,Patch 4.01,/team/7862/new-moon,/team/5477/sussy,2,0,/team/7862/new-moon,/team/5477/sussy,/player/24229/sufu,/player/24233/papichulo,/player/24232/spook,/player/24231/beast,/player/24230/napkin,241,29,/23/,23,+6,79%,149,21%,2,2,0,236,35,/32/,7,+3,64%,152,17%,10,10,0,230,36,/20/,10,+16,79%,154,18%,3,2,+1,213,30,/31/,15,-1,77%,139,27%,7,2,+5,163,22,/23/,8,-1,74%,103,17%,0,1,-1,/player/8941/swayz,/player/5144/prizz,/player/17357/papi,/player/17354/vigilance,/player/17356/visionvilly,247,33,/31/,9,+2,69%,155,22%,5,5,0,220,32,/31/,5,+1,67%,153,26%,6,3,+3,182,25,/32/,11,-7,72%,124,27%,3,5,-2,178,20,/30/,12,-10,67%,130,22%,2,6,-4,133,19,/28/,9,-9,69%,91,26%,1,3,-2
https://www.vlr.gg/66977/kowareta-vs-bababooey-champions-tour-north-america-stage-1-challengers-ro128,2022-01-27,18:00:00,Patch 4.01,/team/5482/kowareta,/team/7834/bababooey,2,0,/team/5482/kowareta,/team/7834/bababooey,/player/8405/awkua,/player/5121/chanse,/player/10025/ram,/player/14036/wraith,/player/6450/korsonix,294,45,/28/,11,+17,82%,181,42%,9,0,+9,273,44,/27/,7,+17,78%,182,23%,6,8,-2,205,32,/31/,7,+1,80%,136,26%,3,3,0,182,29,/29/,15,0,64%,131,28%,2,7,-5,144,25,/22/,5,+3,71%,100,17%,4,3,+1,/player/24566/retrac,/player/24570/krieger,/player/24567/fudgeyb,/player/24568/gridfy,/player/24569/swagbob,201,32,/35/,11,-3,67%,132,21%,4,7,-3,189,30,/33/,11,-3,67%,129,25%,2,0,+2,183,27,/40/,4,-13,56%,125,26%,7,6,+1,162,25,/33/,5,-8,60%,115,31%,6,4,+2,154,23,/34/,4,-11,51%,100,20%,2,7,-5
https://www.vlr.gg/66978/vireo-pro-vs-24haven-champions-tour-north-america-stage-1-challengers-ro128,2022-01-27,18:00:00,Patch 4.01,/team/6990/vireo-pro,/team/4924/24haven,2,0,/team/6990/vireo-pro,/team/4924/24haven,/player/18796/oxy,/player/14075/ricky,/player/6405/karizmah,/player/17368/callmemar,/player/19289/nautic,386,49,/19/,5,+30,91%,219,23%,14,1,+13,272,32,/18/,19,+14,91%,190,30%,3,1,+2,199,24,/14/,15,+10,82%,128,11%,1,2,-1,178,24,/15/,10,+9,85%,105,36%,4,4,0,166,21,/12/,11,+9,85%,106,15%,3,0,+3,/player/14874/vernina,/player/17982/lunafox,/player/14722/slandy,/player/15436/mady,/player/15344/chloe,222,27,/28/,6,-1,73%,136,30%,2,4,-2,174,17,/31/,10,-14,64%,122,32%,0,2,-2,147,16,/30/,4,-14,55%,99,28%,2,5,-3,99,11,/30/,6,-19,42%,66,16%,1,3,-2,64,7,/31/,5,-24,36%,40,23%,3,11,-8
